# kind	offset	note — GENERATED by tools/align_isco.py: WordNet synsets an ISCO-08 title names
synset	09608377	auctioneer
synset	09608520	behaviorist
synset	09609746	caster
synset	09609871	changer
synset	09610660	communicator
synset	09616573	enologist
synset	09624559	mediator
synset	09629752	traveler
synset	09754217	abbess
synset	09754404	abbot
synset	09756500	able_seaman
synset	09760913	accompanist
synset	09761753	account_executive
synset	09764381	acrobat
synset	09767592	actor's_agent
synset	09770179	adjutant
synset	09775663	advocate
synset	09775907	aeronautical_engineer
synset	09776079	aerospace_engineer
synset	09777012	agent
synset	09778144	literary_agent
synset	09779790	agriculturist
synset	09780120	agronomist
synset	09780249	aide
synset	09782397	alderman
synset	09787534	ambassador
synset	09790482	analyst
synset	09790666	credit_analyst
synset	09790865	financial_analyst
synset	09791248	market_analyst
synset	09792237	anatomist
synset	09792969	anchor
synset	09795334	announcer
synset	09796323	anthropologist
synset	09802050	appraiser
synset	09803429	arbiter
synset	09804343	archdeacon
synset	09804806	archeologist
synset	09805151	archbishop
synset	09806944	archivist
synset	09810867	art_critic
synset	09812068	illustrator
synset	09813219	artist's_model
synset	09814252	assayer
synset	09815455	assignee
synset	09816771	associate
synset	09817816	astrologer
synset	09819291	astrophysicist
synset	09825750	automobile_mechanic
synset	09825939	automotive_engineer
synset	09826821	ayah
synset	09829305	babysitter
synset	09831411	bacteriologist
synset	09833111	bailiff
synset	09833751	balancer
synset	09834592	ballerina
synset	09834699	ballet_dancer
synset	09837201	bandleader
synset	09837360	bandmaster
synset	09837824	banker
synset	09838200	bank_manager
synset	09838895	barber
synset	09839436	baritone
synset	09839702	barmaid
synset	09840963	barrister
synset	09841188	bartender
synset	09842288	basketweaver
synset	09842395	Basket_Maker
synset	09842716	bassoonist
synset	09844685	beachcomber
synset	09845737	beater
synset	09845999	beautician
synset	09846142	beauty_consultant
synset	09846755	beekeeper
synset	09848775	bellboy
synset	09849256	bell_ringer
synset	09852558	bibliographer
synset	09854510	bill_poster
synset	09854915	biochemist
