sub	sup	status	for	against
abbess	adviser	single	isco	
abbess	agent	single	wordnet	
abbess	analyst.person	single	isco	
abbess	architect	single	isco	
abbess	artist	single	isco	
abbess	attribute	single	sumo	
abbess	copywriter	single	isco	
abbess	developer	single	isco	
abbess	editor	single	isco	
abbess	educator	single	isco	
abbess	engineer	single	isco	
abbess	epidemiologist	single	isco	
abbess	expert	single	isco	
abbess	hearer	single	isco	
abbess	immunologist	single	isco	
abbess	monk	single	wikidata	
abbess	nun	single	wikidata	
abbess	organism	single	wordnet	
abbess	person	single	wordnet	
abbess	physical-object	single	wordnet	
abbess	practitioner	single	isco	
abbess	professional	single	isco	
abbess	property	single	sumo	
abbess	reporter	single	isco	
abbess	research-worker	single	isco	
abbess	scientist	single	isco	
abbess	security-consultant	single	isco	
abbess	specialist	single	isco	
abbess	sports-announcer	single	isco	
abbess	systems-analyst	single	isco	
abbess	translator	single	isco	
abbess	worker	single	isco	
abbess	writer	single	isco	
abbot	adviser	single	isco	
abbot	agent	single	wordnet	
abbot	analyst.person	single	isco	
abbot	architect	single	isco	
abbot	artist	single	isco	
abbot	copywriter	single	isco	
abbot	developer	single	isco	
abbot	editor	single	isco	
abbot	educator	single	isco	
abbot	engineer	single	isco	
abbot	epidemiologist	single	isco	
abbot	expert	single	isco	
abbot	hearer	single	isco	
abbot	immunologist	single	isco	
abbot	monk	single	wikidata	
abbot	organism	single	wordnet	
abbot	person	single	wordnet	
abbot	physical-object	single	wordnet	
abbot	practitioner	single	isco	
abbot	professional	single	isco	
abbot	reporter	single	isco	
abbot	research-worker	single	isco	
abbot	scientist	single	isco	
abbot	security-consultant	single	isco	
abbot	specialist	single	isco	
abbot	sports-announcer	single	isco	
abbot	systems-analyst	single	isco	
abbot	translator	single	isco	
abbot	worker	single	isco	
abbot	writer	single	isco	
able-seaman	agent	single	wordnet	
able-seaman	attribute	single	sumo	
able-seaman	digger	single	isco	
able-seaman	driver	single	isco	
able-seaman	operator	single	isco	
able-seaman	organism	single	wordnet	
able-seaman	person	single	wordnet	
able-seaman	physical-object	single	wordnet	
able-seaman	property	single	sumo	
able-seaman	sailor	single	wordnet	
able-seaman	skilled-worker	single	wordnet	
able-seaman	teamster	single	isco	
able-seaman	worker	accepted	isco wordnet	
accompanist	adviser	single	isco	
accompanist	agent	single	wordnet	
accompanist	analyst.person	single	isco	
accompanist	architect	single	isco	
accompanist	artist	accepted	isco wikidata	
accompanist	attribute	single	sumo	
accompanist	copywriter	single	isco	
accompanist	developer	single	isco	
accompanist	editor	single	isco	
accompanist	educator	single	isco	
accompanist	engineer	single	isco	
accompanist	epidemiologist	single	isco	
accompanist	expert	single	isco	
accompanist	hearer	single	isco	
accompanist	immunologist	single	isco	
accompanist	instrumentalist	accepted	wikidata wordnet	
accompanist	musician	single	wikidata	
accompanist	organism	single	wordnet	
accompanist	performer	single	wordnet	
accompanist	person	accepted	wikidata wordnet	
accompanist	physical-object	single	wordnet	
accompanist	practitioner	single	isco	
accompanist	professional	single	isco	
accompanist	property	single	sumo	
accompanist	reporter	single	isco	
accompanist	research-worker	single	isco	
accompanist	scientist	single	isco	
accompanist	security-consultant	single	isco	
accompanist	specialist	single	isco	
accompanist	sports-announcer	single	isco	
accompanist	systems-analyst	single	isco	
accompanist	translator	single	isco	
accompanist	worker	single	isco	
accompanist	writer	single	isco	
account-executive	adviser	single	isco	
account-executive	agent	single	wordnet	
account-executive	analyst.person	single	isco	
account-executive	architect	single	isco	
account-executive	artist	single	isco	
account-executive	attribute	single	sumo	
account-executive	copywriter	single	isco	
account-executive	developer	single	isco	
account-executive	educator	single	isco	
account-executive	engineer	single	isco	
account-executive	epidemiologist	single	isco	
account-executive	expert	single	isco	
account-executive	hearer	single	isco	
account-executive	immunologist	single	isco	
account-executive	organism	single	wordnet	
account-executive	person	single	wordnet	
account-executive	physical-object	single	wordnet	
account-executive	practitioner	single	isco	
account-executive	professional	single	isco	
account-executive	property	single	sumo	
account-executive	research-worker	single	isco	
account-executive	scientist	single	isco	
account-executive	security-consultant	single	isco	
account-executive	specialist	single	isco	
account-executive	systems-analyst	single	isco	
account-executive	worker	single	isco	
account-executive	writer	single	isco	
acknowledgment	companion	single	sumo	
acrobat	adviser	single	isco	
acrobat	agent	single	wordnet	
acrobat	analyst.person	single	isco	
acrobat	architect	single	isco	
acrobat	artist	accepted	isco opencyc	
acrobat	athlete	single	wordnet	
acrobat	copywriter	single	isco	
acrobat	developer	single	isco	
acrobat	editor	single	isco	
acrobat	educator	single	isco	
acrobat	engineer	single	isco	
acrobat	epidemiologist	single	isco	
acrobat	expert	single	isco	
acrobat	hearer	single	isco	
acrobat	human	single	opencyc	
acrobat	immunologist	single	isco	
acrobat	mammal	single	opencyc	
acrobat	organism	single	wordnet	
acrobat	person	single	wordnet	
acrobat	physical-object	single	wordnet	
acrobat	practitioner	single	isco	
acrobat	professional	accepted	isco opencyc	
acrobat	reporter	single	isco	
acrobat	research-worker	single	isco	
acrobat	scientist	single	isco	
acrobat	security-consultant	single	isco	
acrobat	signified	single	sumo	
acrobat	skilled-worker	single	opencyc	
acrobat	specialist	single	isco	
acrobat	sports-announcer	single	isco	
acrobat	structure	single	opencyc	
acrobat	system	single	opencyc	
acrobat	systems-analyst	single	isco	
acrobat	translator	single	isco	
acrobat	vertebrate	single	opencyc	
acrobat	worker	accepted	isco opencyc	
acrobat	writer	single	isco	
actor	analyst.person	single	isco	
actor	copywriter	single	isco	
actor	developer	single	isco	
actor	editor	single	isco	
actor	educator	single	isco	
actor	epidemiologist	single	isco	
actor	hearer	single	isco	
actor	immunologist	single	isco	
actor	practitioner	single	isco	
actor	security-consultant	single	isco	
actor	skilled-worker	single	opencyc	
actor	sports-announcer	disputed	isco	wikidata
