kind	sub	sup	detail
disputed	actor	sports-announcer	for isco; reversed by wikidata
disputed	analyst	systems-analyst	for isco; reversed by opencyc
disputed	announcer	sports-announcer	for isco; reversed by wikidata
disputed	breeder	cowboy	for isco; reversed by wikidata
disputed	breeder	goat-herder	for isco; reversed by wikidata
disputed	breeder	shepherd	for isco; reversed by wikidata
disputed	breeder	stockman	for wordnet; reversed by isco
disputed	cabinetmaker	woodworker	for wordnet; reversed by isco wikidata
disputed	cameraman	photographer	for wikidata wordnet; reversed by isco
disputed	caretaker	concierge	for isco; reversed by wordnet
disputed	chancellor-of-the-exchequer	minister	for wordnet; reversed by isco
disputed	chief-executive-officer	executive-director	for opencyc wordnet; reversed by wikidata
disputed	communicator	reporter	for isco; reversed by wordnet
disputed	communicator	sports-announcer	for isco; reversed by wordnet
disputed	communicator	writer	for isco; reversed by wordnet
disputed	compositor	pressman	for wordnet; reversed by isco
disputed	concierge	caretaker	for wordnet; reversed by isco
disputed	cowboy	breeder	for wikidata; reversed by isco
disputed	cowboy	herder	for opencyc wikidata; reversed by isco
disputed	cowboy	ranch-hand	for wordnet; reversed by isco
disputed	cowboy	rancher	for wikidata; reversed by isco
disputed	critic	sports-announcer	for isco; reversed by wikidata
disputed	doctor	epidemiologist	for isco; reversed by opencyc
disputed	doctor	immunologist	for isco; reversed by opencyc
disputed	epidemiologist	doctor	for opencyc; reversed by isco
disputed	epidemiologist	medical-scientist	for wikidata wordnet; reversed by isco
disputed	executive-director	chief-executive-officer	for wikidata; reversed by opencyc wordnet
disputed	executive-director	president.person	for wikidata; reversed by wordnet
disputed	fisherman	skilled-worker	for wordnet; reversed by isco
disputed	fitter	tailor	for wordnet; reversed by isco
disputed	forester	skilled-worker	for opencyc; reversed by isco
disputed	gardener	horticulturist	for wordnet; reversed by isco wikidata
disputed	goat-herder	breeder	for wikidata; reversed by isco
disputed	goat-herder	herder	for wikidata wordnet; reversed by isco
disputed	goat-herder	rancher	for wikidata; reversed by isco
disputed	governor	politician.person	for wordnet; reversed by isco
disputed	herder	cowboy	for isco; reversed by opencyc wikidata
disputed	herder	goat-herder	for isco; reversed by wikidata wordnet
disputed	herder	shepherd	for isco; reversed by opencyc wikidata
disputed	horticulturist	gardener	for isco wikidata; reversed by wordnet
disputed	hunter	skilled-worker	for wordnet; reversed by isco
disputed	immunologist	doctor	for opencyc; reversed by isco
disputed	immunologist	medical-scientist	for wikidata wordnet; reversed by isco
disputed	inquiry-agent	private-detective	for wordnet; reversed by isco
disputed	instrumentalist	performer	for wordnet; reversed by wikidata
disputed	medical-scientist	epidemiologist	for isco; reversed by wikidata wordnet
disputed	medical-scientist	immunologist	for isco; reversed by wikidata wordnet
disputed	medical-scientist	toxicologist	for isco; reversed by wordnet
disputed	minister	chancellor-of-the-exchequer	for isco; reversed by wordnet
disputed	mover	remover	for isco; reversed by wordnet
disputed	observer	sports-announcer	for isco; reversed by wikidata
disputed	performer	instrumentalist	for wikidata; reversed by wordnet
disputed	photographer	cameraman	for isco; reversed by wikidata wordnet
disputed	politician.person	governor	for isco; reversed by wordnet
disputed	president.person	executive-director	for wordnet; reversed by wikidata
disputed	pressman	compositor	for isco; reversed by wordnet
disputed	private-detective	inquiry-agent	for isco; reversed by wordnet
disputed	radio-announcer	sports-announcer	for isco; reversed by wikidata
disputed	ranch-hand	cowboy	for isco; reversed by wordnet
disputed	rancher	cowboy	for isco; reversed by wikidata
disputed	rancher	goat-herder	for isco; reversed by wikidata
disputed	rancher	shepherd	for isco; reversed by wikidata
disputed	remover	mover	for wordnet; reversed by isco
disputed	reporter	communicator	for wordnet; reversed by isco
disputed	rigger	steeplejack	for wikidata; reversed by isco
disputed	shepherd	breeder	for wikidata; reversed by isco
disputed	shepherd	herder	for opencyc wikidata; reversed by isco
disputed	shepherd	rancher	for wikidata; reversed by isco
disputed	skilled-worker	fisherman	for isco; reversed by wordnet
disputed	skilled-worker	forester	for isco; reversed by opencyc
disputed	skilled-worker	hunter	for isco; reversed by wordnet
disputed	skilled-worker	trapper	for isco; reversed by wordnet
disputed	sports-announcer	actor	for wikidata; reversed by isco
disputed	sports-announcer	announcer	for wikidata; reversed by isco
disputed	sports-announcer	communicator	for wordnet; reversed by isco
disputed	sports-announcer	critic	for wikidata; reversed by isco
disputed	sports-announcer	observer	for wikidata; reversed by isco
disputed	sports-announcer	radio-announcer	for wikidata; reversed by isco
disputed	sports-announcer	sports-writer	for wikidata; reversed by isco
disputed	sports-writer	sports-announcer	for isco; reversed by wikidata
disputed	steeplejack	rigger	for isco; reversed by wikidata
disputed	steward	stewardess	for isco; reversed by wordnet
disputed	stewardess	steward	for wordnet; reversed by isco
disputed	stockman	breeder	for isco; reversed by wordnet
disputed	systems-analyst	analyst	for opencyc; reversed by isco
disputed	tailor	fitter	for isco; reversed by wordnet
disputed	toxicologist	medical-scientist	for wordnet; reversed by isco
disputed	trapper	skilled-worker	for wordnet; reversed by isco
disputed	woodcarver	woodworker	for wordnet; reversed by isco
disputed	woodworker	cabinetmaker	for isco wikidata; reversed by wordnet
disputed	woodworker	woodcarver	for isco; reversed by wordnet
disputed	writer	communicator	for wordnet; reversed by isco
single	able-seaman	agent	only wordnet
single	able-seaman	attribute	only sumo
single	able-seaman	digger	only isco
single	able-seaman	driver	only isco
single	able-seaman	operator	only isco
single	able-seaman	organism	only wordnet
single	able-seaman	person	only wordnet
single	able-seaman	physical-object	only wordnet
single	able-seaman	property	only sumo
single	able-seaman	sailor	only wordnet
single	able-seaman	skilled-worker	only wordnet
single	able-seaman	teamster	only isco
single	accompanist	adviser	only isco
single	accompanist	agent	only wordnet
single	accompanist	analyst.person	only isco
single	accompanist	architect	only isco
single	accompanist	attribute	only sumo
single	accompanist	copywriter	only isco
single	accompanist	developer	only isco
single	accompanist	editor	only isco
single	accompanist	educator	only isco
single	accompanist	engineer	only isco
single	accompanist	epidemiologist	only isco
single	accompanist	expert	only isco
single	accompanist	hearer	only isco
single	accompanist	immunologist	only isco
single	accompanist	musician	only wikidata
single	accompanist	organism	only wordnet
single	accompanist	performer	only wordnet
single	accompanist	physical-object	only wordnet
single	accompanist	professional	only isco
single	accompanist	property	only sumo
single	accompanist	reporter	only isco
single	accompanist	research-worker	only isco
single	accompanist	scientist	only isco
single	accompanist	specialist	only isco
single	accompanist	sports-announcer	only isco
single	accompanist	systems-analyst	only isco
single	accompanist	translator	only isco
single	accompanist	worker	only isco
single	accompanist	writer	only isco
single	acrobat	adviser	only isco
single	acrobat	agent	only wordnet
single	acrobat	analyst.person	only isco
single	acrobat	architect	only isco
single	acrobat	athlete	only wordnet
single	acrobat	copywriter	only isco
single	acrobat	developer	only isco
single	acrobat	editor	only isco
single	acrobat	educator	only isco
single	acrobat	engineer	only isco
single	acrobat	epidemiologist	only isco
single	acrobat	expert	only isco
single	acrobat	hearer	only isco
single	acrobat	human	only opencyc
single	acrobat	immunologist	only isco
single	acrobat	mammal	only opencyc
single	acrobat	organism	only wordnet
single	acrobat	person	only wordnet
single	acrobat	physical-object	only wordnet
single	acrobat	reporter	only isco
single	acrobat	research-worker	only isco
single	acrobat	scientist	only isco
single	acrobat	skilled-worker	only opencyc
single	acrobat	specialist	only isco
single	acrobat	sports-announcer	only isco
single	acrobat	structure	only opencyc
single	acrobat	system	only opencyc
single	acrobat	systems-analyst	only isco
single	acrobat	translator	only isco
single	acrobat	vertebrate	only opencyc
single	acrobat	writer	only isco
single	actor	analyst.person	only isco
single	actor	copywriter	only isco
single	actor	developer	only isco
single	actor	editor	only isco
single	actor	educator	only isco
single	actor	epidemiologist	only isco
single	actor	hearer	only isco
single	actor	immunologist	only isco
single	actor	skilled-worker	only opencyc
single	actor	systems-analyst	only isco
single	actor	translator	only isco
single	adjutant	agent	only wordnet
single	adjutant	clerk	only wikidata
single	adjutant	organism	only wordnet
single	adjutant	person	only wordnet
single	adjutant	physical-object	only wordnet
single	adjutant	secretary	only wikidata
single	adjutant	skilled-worker	only wordnet
single	advocate	analyst.person	only isco
single	advocate	copywriter	only isco
single	advocate	developer	only isco
single	advocate	editor	only isco
single	advocate	educator	only isco
single	advocate	epidemiologist	only isco
single	advocate	hearer	only isco
single	advocate	immunologist	only isco
single	advocate	sports-announcer	only isco
single	advocate	systems-analyst	only isco
single	advocate	translator	only isco
single	aeronautical-engineer	adviser	only isco
single	aeronautical-engineer	agent	only wordnet
single	aeronautical-engineer	analyst.person	only isco
single	aeronautical-engineer	architect	only isco
single	aeronautical-engineer	artist	only isco
single	aeronautical-engineer	copywriter	only isco
single	aeronautical-engineer	developer	only isco
single	aeronautical-engineer	educator	only isco
single	aeronautical-engineer	epidemiologist	only isco
single	aeronautical-engineer	expert	only isco
single	aeronautical-engineer	hearer	only isco
single	aeronautical-engineer	immunologist	only isco
single	aeronautical-engineer	organism	only wordnet
single	aeronautical-engineer	person	only wordnet
single	aeronautical-engineer	physical-object	only wordnet
single	aeronautical-engineer	professional	only isco
single	aeronautical-engineer	research-worker	only isco
single	aeronautical-engineer	scientist	only isco
single	aeronautical-engineer	specialist	only isco
single	aeronautical-engineer	surveyor	only isco
single	aeronautical-engineer	systems-analyst	only isco
single	aeronautical-engineer	writer	only isco
single	aerospace-engineer	adult	only opencyc
single	aerospace-engineer	adviser	only isco
single	aerospace-engineer	agent	only wordnet
single	aerospace-engineer	analyst.person	only isco
single	aerospace-engineer	architect	only isco
single	aerospace-engineer	artist	only isco
single	aerospace-engineer	copywriter	only isco
single	aerospace-engineer	developer	only isco
single	aerospace-engineer	educator	only isco
single	aerospace-engineer	epidemiologist	only isco
single	aerospace-engineer	expert	only isco
single	aerospace-engineer	hearer	only isco
single	aerospace-engineer	human	only opencyc
single	aerospace-engineer	immunologist	only isco
single	aerospace-engineer	mammal	only opencyc
single	aerospace-engineer	organism	only wordnet
single	aerospace-engineer	person	only wordnet
single	aerospace-engineer	physical-object	only wordnet
single	aerospace-engineer	research-worker	only isco
single	aerospace-engineer	scientist	only isco
single	aerospace-engineer	skilled-worker	only opencyc
single	aerospace-engineer	specialist	only isco
single	aerospace-engineer	structure	only opencyc
single	aerospace-engineer	surveyor	only isco
single	aerospace-engineer	system	only opencyc
single	aerospace-engineer	systems-analyst	only isco
single	aerospace-engineer	vertebrate	only opencyc
single	aerospace-engineer	writer	only isco
single	agriculturist	agent	only wordnet
single	agriculturist	attribute	only sumo
single	agriculturist	farmer	only wordnet
single	agriculturist	human	only opencyc
single	agriculturist	mammal	only opencyc
single	agriculturist	organism	only wordnet
single	agriculturist	person	only wordnet
single	agriculturist	physical-object	only wordnet
single	agriculturist	property	only sumo
single	agriculturist	structure	only opencyc
single	agriculturist	system	only opencyc
single	agriculturist	vertebrate	only opencyc
single	agronomist	adult	only opencyc
single	agronomist	adviser	only isco
single	agronomist	agent	only wordnet
single	agronomist	analyst.person	only isco
single	agronomist	architect	only isco
single	agronomist	artist	only isco
single	agronomist	attribute	only sumo
single	agronomist	copywriter	only isco
single	agronomist	developer	only isco
single	agronomist	educator	only isco
single	agronomist	epidemiologist	only isco
single	agronomist	hearer	only isco
single	agronomist	human	only opencyc
single	agronomist	immunologist	only isco
single	agronomist	mammal	only opencyc
single	agronomist	organism	only wordnet
single	agronomist	person	only wordnet
single	agronomist	physical-object	only wordnet
single	agronomist	professional	only isco
single	agronomist	property	only sumo
single	agronomist	research-worker	only isco
single	agronomist	specialist	only isco
single	agronomist	structure	only opencyc
single	agronomist	surveyor	only isco
single	agronomist	system	only opencyc
single	agronomist	systems-analyst	only isco
single	agronomist	toxicologist	only isco
single	agronomist	vertebrate	only opencyc
single	agronomist	writer	only isco
single	aide	agent	only wordnet
single	aide	assistant	only wordnet
single	aide	attribute	only sumo
single	aide	cameraman	only isco
single	aide	detective	only isco
single	aide	inspector	only isco
single	aide	man	only isco
single	aide	organism	only wordnet
single	aide	paralegal	only isco
single	aide	person	only wordnet
single	aide	physical-object	only wordnet
single	aide	promoter	only isco
single	aide	property	only sumo
single	aide	supervisor	only isco
single	aide	technician	only isco
single	aide	woman	only isco
single	ambassador	adult	only opencyc
single	ambassador	agent	only wordnet
single	ambassador	chairman	only isco
single	ambassador	chancellor-of-the-exchequer	only isco
single	ambassador	chief	only isco
single	ambassador	general-manager	only isco
single	ambassador	governor	only isco
single	ambassador	human	only opencyc
single	ambassador	mammal	only opencyc
single	ambassador	official	only wordnet
single	ambassador	organism	only wordnet
single	ambassador	person	only wordnet
single	ambassador	physical-object	only wordnet
single	ambassador	president.person	only isco
single	ambassador	professional	only opencyc
single	ambassador	secretary-general	only isco
single	ambassador	structure	only opencyc
single	ambassador	system	only opencyc
single	ambassador	vertebrate	only opencyc
single	analyst	analyst.person	only isco
single	analyst	copywriter	only isco
single	analyst	developer	only isco
single	analyst	editor	only isco
single	analyst	educator	only isco
single	analyst	epidemiologist	only isco
single	analyst	hearer	only isco
single	analyst	immunologist	only isco
single	analyst	sports-announcer	only isco
single	analyst	translator	only isco
single	analyst.person	agent	only wordnet
single	analyst.person	amateur	only sumo
single	analyst.person	ambiance	only sumo
single	analyst.person	attribute	only sumo
single	analyst.person	circumstance	only sumo
single	analyst.person	civilisation	only sumo
single	analyst.person	crowd	only sumo
single	analyst.person	custom	only sumo
single	analyst.person	danger	only sumo
single	analyst.person	freedom	only sumo
single	analyst.person	hero	only sumo
single	analyst.person	lap	only sumo
single	analyst.person	literary-works	only sumo
single	analyst.person	normal	only sumo
single	analyst.person	organism	only wordnet
single	analyst.person	person	only wordnet
single	analyst.person	physical-object	only wordnet
single	analyst.person	point-of-view	only sumo
single	analyst.person	practice	only sumo
single	analyst.person	property	only sumo
single	analyst.person	society	only sumo
single	analyst.person	status	only sumo
