# sub	sup	accept|reject	reason	sub_wn	sup_wn — Claude's judgements for the physics pack
# --- physics batch 1: wordnet  ---
absolute-magnitude	magnitude	accept		05090979	05090441
absorber	material	accept		14598079	14580897
absorption.process	process	accept		13424183	00029677
abundance	ratio	accept		13820239	13819207
anomaly	place	reject	an orbital angle, not a place	08622763	00027167
asterism	natural-object	accept		09208496	00019128
astronomer	physicist	accept		09818343	10428004
atomic-spectrum	group	reject	a spectrum is not a group of entities	11426288	00031264
attractor	concept	accept		05866199	05835747
autumnal-equinox	equinoctial-point	accept		08521112	08520728
barycenter	centre	accept		08523064	08521816
bohr-theory	thinking	reject	a theory is not the process of thinking — theories go under theory	06103422	05770926
bose-einstein-statistics	concept	accept		05875723	05835747
canal	water-channel	reject	a Martian surface feature, not a channel	09232317	09241247
capacitance	natural-event	reject	a quantity; the unit head is an attribute	11433546	11408559
center-of-buoyancy	centre	accept		08522287	08521816
cohesion	natural-event	reject	a force, not an event	11436585	11408559
coma.object	natural-event	reject	a cloud of particles is an object	09251002	11408559
conjunction	encounter	reject	an astronomical alignment is not a casual meeting	07415167	07414922
coriolis-force	natural-event	reject	a force, not an event	11440123	11408559
corpuscular-theory	thinking	reject	a theory	06106084	05770926
dalton's-law	concept	accept		05876469	05835747
declination	angle	accept		08632894	13887509
diffusion	process	accept		13465530	00029677
dip	angle	accept		13892897	13887509
egress	event	accept		07322138	00029378
energy	natural-event	reject	the prelude owns `energy`; dropped from the pack	11452218	11408559
fermi-dirac-statistics	concept	accept		05877991	05835747
field-theory	thinking	reject	a theory	05994484	05770926
flux-density	magnitude	accept		05100525	05090441
fundamental-interaction	natural-event	accept		11516113	11408559
gay-lussac's-law	concept	accept		05878229	05835747
gravitational-mass	attribute	accept		05025520	00024264
gravity-wave	undulation	accept		07344875	07345593
ground-state	state	accept		13924196	00024720
hodoscope	instrument	accept		03524425	03574816
hooke's-law	concept	accept		05879003	05835747
hour-angle	angle	accept		13888783	13887509
hubble's-law	concept	accept		05879204	05835747
illuminance	luminosity	accept		05018542	05018103
inclination-of-an-orbit	angle	accept		13889843	13887509
inductance	natural-event	reject	a quantity	11468172	11408559
inertia	natural-event	reject	a property	11468763	11408559
inertial-mass	attribute	accept		05025693	00024264
ingress	event	accept		07322341	00029378
kepler's-law	concept	accept		05879441	05835747
kinetic-theory	thinking	reject	a theory	06106305	05770926
kirchhoff's-laws	concept	accept		05880432	05835747
law-of-gravitation	concept	accept		05881867	05835747
law-of-thermodynamics	concept	accept		05882793	05835747
magnetic-dipole-moment	natural-event	reject	a quantity	11483580	11408559
mass-energy	attribute	accept		05026171	00024264
mass-energy-equivalence	principle.cognition	accept		05885187	05874232
maxwell-boltzmann-distribution-law	concept	accept		05877178	05835747
meniscus	artifact	reject	a liquid surface is not an artifact	03745712	00021939
meteoroid	natural-object	accept		09353109	00019128
nuclear-reaction	process	accept		13523208	00029677
nucleosynthesis	process	accept		13523503	00029677
nucleus	centre	accept		09375223	08521816
optical-density	density	accept		05089367	04941453
oscillation	undulation	accept		07345166	07345593
outer-planet	planet	accept		09381480	09394007
phase-space	attribute	reject	a mathematical space is a concept	00029114	00024264
phase.attribute	appearance	accept		04676540	04673965
planck's-law	concept	accept		05887365	05835747
planck's-radiation-law	concept	accept		05887712	05835747
primary.object	celestial-body	accept		09398769	09239740
principle-of-equivalence	principle.cognition	accept		05990981	05874232
principle-of-relativity	concept	accept		05990480	05835747
quantum-jump	change	accept		07359377	07296428
quantum-theory	thinking	reject	a theory	06107660	05770926
red-shift	natural-event	accept		11513357	11408559
relativistic-mass	attribute	accept		05025129	00024264
relativity	thinking	reject	a theory	06106502	05770926
relaxation	process	accept		13549311	00029677
reluctance.phenomenon	natural-event	reject	a quantity	11504750	11408559
reluctivity	attribute	accept		05019499	00024264
rest-mass	attribute	accept		05024931	00024264
right-ascension	angle	accept		08633191	13887509
shear	change	accept		11506738	07296428
soliton	undulation	accept		07346344	07345593
strain	change	accept		11515325	07296428
stress	natural-event	reject	a force	11514805	11408559
supersymmetry	thinking	reject	a theory	06107436	05770926
sympathetic-vibration	oscillation	accept		11478171	07345166
theory-of-gravitation	thinking	reject	a theory	05990089	05770926
transient	oscillation	accept		07347468	07345166
transmutation	change	accept		07416441	07296428
vernal-equinox	equinoctial-point	accept		08520958	08520728
voltage	natural-event	reject	a quantity	11523538	11408559
wave-front	surface	accept		08681966	08660339
wave-theory	thinking	reject	a theory	06105873	05770926
# --- physics batch 2: wordnet  ---
atomic-nucleus	centre	reject	a part of an atom, not a geometric point	09375085	08521816
physical-law	concept	accept		05872982	05835747
physical-phenomenon	natural-event	accept		11419404	11408559
radioactive-decay	nuclear-reaction	accept		13456899	13523208
spallation	nuclear-reaction	accept		13559509	13523208
strong-interaction	fundamental-interaction	accept		11516819	11516113
theory	thinking	reject	a theory is a body of concepts, not the process of thinking (placed under concept by ruling)	05989479	05770926
weak-interaction	fundamental-interaction	accept		11517210	11516113
# --- physics batch 3 (phenomena and laws): wordnet  ---
aberration	physical-phenomenon	accept		11420139	11419404
attractive-force	physical-phenomenon	accept		11426530	11419404
bose-einstein-statistics	physical-law	accept		05875723	05872982
cloud	physical-phenomenon	accept		09247410	11419404
cohesion	physical-phenomenon	accept		11436585	11419404
coma.object	physical-phenomenon	reject	a cloud of particles is an object	09251002	11419404
coriolis-force	physical-phenomenon	accept		11440123	11419404
dalton's-law	physical-law	accept		05876469	05872982
electrical-phenomenon	physical-phenomenon	accept		11449002	11419404
electricity	physical-phenomenon	accept		11449907	11419404
fermi-dirac-statistics	physical-law	accept		05877991	05872982
field-theory	theory	accept		05994484	05989479
fog	physical-phenomenon	accept		11458314	11419404
front.phenomenon	physical-phenomenon	accept		11460488	11419404
fundamental-interaction	physical-phenomenon	accept		11516113	11419404
gay-lussac's-law	physical-law	accept		05878229	05872982
hooke's-law	physical-law	accept		05879003	05872982
hubble's-law	physical-law	accept		05879204	05872982
inertia	physical-phenomenon	accept		11468763	11419404
kepler's-law	physical-law	accept		05879441	05872982
kirchhoff's-laws	physical-law	accept		05880432	05872982
law-of-gravitation	physical-law	accept		05881867	05872982
law-of-thermodynamics	physical-law	accept		05882793	05872982
magnetic-dipole-moment	physical-phenomenon	accept		11483580	11419404
maxwell-boltzmann-distribution-law	physical-law	accept		05877178	05872982
planck's-law	physical-law	accept		05887365	05872982
planck's-radiation-law	physical-law	accept		05887712	05872982
pressure	physical-phenomenon	reject	the prelude owns `pressure`; dropped from the pack	11495041	11419404
principle-of-relativity	physical-law	accept		05990480	05872982
principle.cognition	physical-law	accept		05874232	05872982
reaction	physical-phenomenon	accept		11498461	11419404
