# offset-or-name	reason
11452218	the prelude owns `energy` (energy)
# quantities without a registry family: registry territory (derived units) — physics v2, not categories
15275851	quantity without a registry family (acceleration)
11469108	quantity without a registry family (angular-acceleration)
11469265	quantity without a registry family (angular-velocity)
13587963	quantity without a registry family (coefficient-of-elasticity)
15276171	quantity without a registry family (deceleration)
13590079	quantity without a registry family (gas-constant)
13590327	quantity without a registry family (gravitational-constant)
13587763	quantity without a registry family (modulus)
13784906	quantity without a registry family (metric-function)
09257563	quantity without a registry family (couple.object)
# time nouns: calendar dimension territory
15296687	time (epoch)
15156537	time (mean-time)
15156746	time (terrestrial-time)
09232317	a historical illusion, not a physics concept
