# sub	sup	note — unit heads: each is a linear dimension (a registry family with units), so `force(12N)` parses
force	linear-dimension	N, kN, lbf
frequency	linear-dimension	Hz
current	linear-dimension	A
voltage	linear-dimension	V
power	linear-dimension	W
charge	linear-dimension	coulomb
resistance	linear-dimension	ohm
capacitance	linear-dimension	farad
inductance	linear-dimension	H
magnetic-flux	linear-dimension	Wb
flux-density	linear-dimension	T
angle	linear-dimension	deg
luminous-flux	linear-dimension	lm
illuminance	linear-dimension	lx
radioactivity	linear-dimension	Bq
luminous-intensity	linear-dimension	cd (no WordNet synset; head only)
