# offset	name	note — the unit heads take the registry family's own name
15278281	frequency	frequency
11443532	current	registry family: current
11523538	voltage	voltage
11433546	capacitance	capacitance
11468172	inductance	inductance
13599730	magnetic-flux	magnetic-flux
05100525	flux-density	registry family: flux-density
13887509	angle	angle
15287486	luminous-flux	luminous-flux
05018542	illuminance	illuminance
13545184	radioactivity	radioactivity
# hinges and collisions
05989479	theory	a well-substantiated explanation
05993844	scientific-theory	
05872982	physical-law	law of nature; `natural-law` in core is the ethical sense
09375085	atomic-nucleus	the dense centre of an atom
09375223	comet-nucleus	the centre of a comet's head (it had taken the bare word)
11419404	physical-phenomenon	
11449002	electrical-phenomenon	
07345593	wave-motion	(physics) a movement up and down; `wave` in core is the sea wave
# hand-chosen names for the remaining qualified senses (decision 6 rule)
09232317	martian-canal	an indistinct surface feature of Mars (label-matching had made it a waterway)
13863020	pencil-of-lines	figure formed by lines or rays meeting at a point
08498580	wave-node	point of minimum displacement in a periodic system
08498424	orbital-node	point where an orbit crosses a plane
08592494	celestial-limb	edge of the apparent disc of the sun or moon
04676540	illumination-phase	appearance of a body's state of illumination
13424183	radiation-absorption	incident radiated energy retained
13425425	gravitational-accretion	formation of a celestial object by gravity
09398769	primary-body	celestial body relative to its satellites
11415084	orbital-variation	perturbation of a planet's mean motion
11515051	tensile-stress	stress producing elongation
11504750	magnetic-reluctance	opposition to magnetic flux
11453420	mechanical-work	transfer of energy by a force
09251002	comet-coma	luminous cloud around a comet nucleus
06246529	chaotic-system	dynamical system sensitive to initial conditions
06104073	conservation-law	quantities kept unchanged
09444100	stellar-body	a celestial body of hot gases; core's star is the point of light
11435028	charge	the registry head takes WordNet's electric charge; `charge` the payment is core's business
11453016	power	registry head = WordNet's physics power
11503968	resistance	registry head = WordNet's electrical resistance
11458624	force	registry head = WordNet's physics force
13820239	isotopic-abundance	the plain word `abundance` is everyday; a pack never takes it (second pass 2026-09-03)
11436585	intermolecular-cohesion	the plain word `cohesion` is everyday; a pack never takes it (second pass 2026-09-03)
03095965	reactor-containment	the plain word `containment` is everyday; a pack never takes it (second pass 2026-09-03)
08548239	celestial-culmination	the plain word `culmination` is everyday; a pack never takes it (second pass 2026-09-03)
13892897	magnetic-dip	the plain word `dip` is everyday; a pack never takes it (second pass 2026-09-03)
04920568	wave-particle-duality	the plain word `duality` is everyday; a pack never takes it (second pass 2026-09-03)
07322138	eclipse-egress	the plain word `egress` is everyday; a pack never takes it (second pass 2026-09-03)
07322341	eclipse-ingress	the plain word `ingress` is everyday; a pack never takes it (second pass 2026-09-03)
07374357	charge-recombination	the plain word `recombination` is everyday; a pack never takes it (second pass 2026-09-03)
13549311	relaxation-process	the plain word `relaxation` is everyday; a pack never takes it (second pass 2026-09-03)
11506738	shear-deformation	the plain word `shear` is everyday; a pack never takes it (second pass 2026-09-03)
11515325	mechanical-strain	the plain word `strain` is everyday; a pack never takes it (second pass 2026-09-03)
11514805	mechanical-stress	the plain word `stress` is everyday; a pack never takes it (second pass 2026-09-03)
07347468	transient-oscillation	the plain word `transient` is everyday; a pack never takes it (second pass 2026-09-03)
07311661	astronomical-rising	the plain word `ascension` is everyday; a pack never takes it (second pass 2026-09-03)
06105314	parity-conservation	the physics sense; `parity` in the mathematics pack is the odd/even relation
08521112	autumnal-equinoctial-point	the celestial point; the geography pack has the autumnal-equinox event
08520958	vernal-equinoctial-point	the celestial point; the geography pack has the vernal-equinox event
