# kind	offset	note — candidate synsets for the physics pack
topic	06090869	nouns WordNet tags with the topic physics (110)
topic	06095022	astronomy (48)
cone	09272085	elementary particle and everything below (43)
# the sixteen unit heads the registry has families for and the prelude does not declare
synset	11458624	force
synset	15278281	frequency
synset	11443532	electric current
synset	11523538	voltage
synset	11453016	power (physics)
synset	11435028	electric charge
synset	11503968	electrical resistance
synset	11433546	capacitance
synset	11468172	inductance
synset	13599730	magnetic flux
synset	05100525	magnetic flux density
synset	13887509	angle
synset	15287486	luminous flux
synset	05018542	illuminance
synset	13545184	radioactivity
# hinges the topic-tagged nouns need above them
synset	05989479	theory (well-substantiated explanation)
synset	05993844	scientific theory
synset	05872982	law of nature
synset	09375085	atomic nucleus
synset	11419404	physical phenomenon
synset	11449002	electrical phenomenon
synset	05855517	quantum
# ===== 2026-09-17 review.  The pack had the exotic vocabulary — quarks, hyperons, Kepler's
# laws, the Oort cloud — and none of the basics: no energy, temperature, entropy, mass,
# velocity, acceleration, photon, boson, magnetism, friction, and no branch of physics but
# `electronics`.  WordNet does not tag these with the physics topic, because they are
# ordinary words, and core does not have them either, so nothing reached them.  Named here.
synset	06100236	mechanics
synset	06113777	kinematics
synset	06113597	dynamics (kinetics)
synset	06114578	thermodynamics
synset	06111728	statistical mechanics
synset	06100778	optics
synset	06099107	electromagnetism (the branch)
synset	06094774	acoustics
synset	06100101	electrostatics
synset	06111961	quantum mechanics
synset	06100555	nuclear physics
synset	06101551	particle physics
synset	06114351	aeromechanics / aerodynamics
synset	06113914	hydrodynamics
synset	06098876	crystallography
synset	11452218	energy (physics: the capacity of a physical system to do work)
synset	05011790	temperature
synset	05012585	entropy (thermodynamics; WordNet's first lemma is `randomness`, renamed in names.tsv)
synset	05024254	mass, the property of a body (core's `mass` is a body of matter) — renamed in names.tsv
synset	11466043	heat energy
synset	15275851	acceleration (physics)
synset	15282696	speed / velocity — renamed in names.tsv
synset	05086269	wavelength
synset	11479058	magnetism
synset	11459538	friction
synset	04935003	viscosity
synset	11409892	superconductivity
synset	14481511	plasma, the fourth state of matter
synset	09391223	photon
synset	09226997	boson
synset	09279161	fermion
synset	09289802	gluon
synset	09291633	graviton
