sub	sup	status	for	against
aberration	physical-phenomenon	accepted	claude wordnet	
absolute-magnitude	attribute	accepted	sumo wordnet	
absolute-magnitude	magnitude	accepted	claude wordnet	
absolute-magnitude	property	single	sumo	
absorber	material	accepted	claude wordnet	
absorber	part	single	wordnet	
absorber	phenomenon	single	sumo	
absorber	substance	single	wordnet	
absorber	universe	single	sumo	
absorptivity	attribute	accepted	sumo wordnet	
absorptivity	property	single	sumo	
amplitude	event	accepted	sumo wordnet	
amplitude	phenomenon	single	sumo	
anomaly	angle	accepted	claude-ruling	
anomaly	physical-object	single	wordnet	
anomaly	place	dissented	wordnet	
anomaly	quantity	single	sumo	
antibaryon	antiparticle	accepted	claude wikidata	
antibaryon	chemical-element	single	sumo	
antibaryon	elementary-particle	accepted	sumo wordnet	
antibaryon	hadron	accepted	claude wikidata wordnet	
antibaryon	material	single	sumo	
antibaryon	natural-object	single	wordnet	
antibaryon	particle	accepted	wikidata wordnet	
antibaryon	phenomenon	single	sumo	
antibaryon	physical-object	accepted	wikidata wordnet	
antibaryon	substance	single	sumo	
antibaryon	universe	single	sumo	
antilepton	antiparticle	accepted	claude wikidata	
antilepton	chemical-element	single	sumo	
antilepton	elementary-particle	accepted	sumo wordnet	
antilepton	material	single	sumo	
antilepton	natural-object	single	wordnet	
antilepton	particle	accepted	wikidata wordnet	
antilepton	phenomenon	single	sumo	
antilepton	physical-object	accepted	wikidata wordnet	
antilepton	substance	single	sumo	
antilepton	universe	single	sumo	
antimeson	chemical-element	single	sumo	
antimeson	elementary-particle	accepted	sumo wordnet	
antimeson	hadron	accepted	claude wordnet	
antimeson	material	single	sumo	
antimeson	natural-object	single	wordnet	
antimeson	particle	single	wordnet	
antimeson	phenomenon	single	sumo	
antimeson	physical-object	single	wordnet	
antimeson	substance	single	sumo	
antimeson	universe	single	sumo	
antimuon	antilepton	accepted	claude wordnet	
antimuon	chemical-element	single	sumo	
antimuon	elementary-particle	accepted	sumo wordnet	
antimuon	material	single	sumo	
antimuon	natural-object	single	wordnet	
antimuon	particle	single	wordnet	
antimuon	phenomenon	single	sumo	
antimuon	physical-object	single	wordnet	
antimuon	substance	single	sumo	
antimuon	universe	single	sumo	
antineutrino	antilepton	accepted	claude wikidata wordnet	
antineutrino	antiparticle	single	wikidata	
antineutrino	chemical-element	single	sumo	
antineutrino	elementary-particle	accepted	sumo wordnet	
antineutrino	material	single	sumo	
antineutrino	natural-object	single	wordnet	
antineutrino	particle	accepted	wikidata wordnet	
antineutrino	phenomenon	single	sumo	
antineutrino	physical-object	accepted	wikidata wordnet	
antineutrino	substance	single	sumo	
antineutrino	universe	single	sumo	
antineutron	antibaryon	accepted	claude-ruling	
antineutron	baryon	single	wordnet	
antineutron	chemical-element	single	sumo	
antineutron	elementary-particle	accepted	sumo wordnet	
antineutron	hadron	single	wordnet	
antineutron	material	single	sumo	
antineutron	natural-object	single	wordnet	
antineutron	nucleon	dissented	wordnet	
antineutron	particle	single	wordnet	
antineutron	phenomenon	single	sumo	
antineutron	physical-object	single	wordnet	
antineutron	substance	single	sumo	
antineutron	universe	single	sumo	
antinode	phenomenon	single	sumo	
antinode	physical-object	single	wordnet	
antinode	place	accepted	sumo wordnet	
antinode	universe	single	sumo	
antiparticle	chemical-element	single	sumo	
antiparticle	elementary-particle	accepted	sumo wordnet	
antiparticle	material	single	sumo	
antiparticle	natural-object	single	wordnet	
antiparticle	particle	accepted	wikidata wordnet	
antiparticle	phenomenon	single	sumo	
antiparticle	physical-object	accepted	wikidata wordnet	
antiparticle	substance	single	sumo	
antiparticle	universe	single	sumo	
antiproton	antibaryon	accepted	claude-ruling	
antiproton	baryon	single	wordnet	
antiproton	chemical-element	single	sumo	
antiproton	elementary-particle	accepted	sumo wordnet	
antiproton	hadron	single	wordnet	
antiproton	material	single	sumo	
antiproton	natural-object	single	wordnet	
antiproton	nucleon	dissented	wordnet	
antiproton	particle	single	wordnet	
antiproton	phenomenon	single	sumo	
antiproton	physical-object	single	wordnet	
antiproton	substance	single	sumo	
antiproton	universe	single	sumo	
antiquark	chemical-element	single	sumo	
antiquark	elementary-particle	accepted	sumo wordnet	
antiquark	material	single	sumo	
antiquark	natural-object	single	wordnet	
antiquark	particle	single	wordnet	
antiquark	phenomenon	single	sumo	
antiquark	physical-object	single	wordnet	
antiquark	substance	single	sumo	
antiquark	universe	single	sumo	
antitauon	antilepton	accepted	claude wordnet	
antitauon	chemical-element	single	sumo	
antitauon	elementary-particle	accepted	sumo wordnet	
antitauon	material	single	sumo	
antitauon	natural-object	single	wordnet	
antitauon	particle	single	wordnet	
antitauon	phenomenon	single	sumo	
antitauon	physical-object	single	wordnet	
antitauon	substance	single	sumo	
antitauon	universe	single	sumo	
apoapsis	phenomenon	single	sumo	
apoapsis	physical-object	single	wordnet	
apoapsis	place	accepted	sumo wordnet	
apoapsis	universe	single	sumo	
asterism	celestial-body	single	sumo	
asterism	natural-object	accepted	claude wordnet	
asterism	phenomenon	single	sumo	
asterism	physical-object	single	wordnet	
asterism	universe	single	sumo	
astronomer	adult	single	opencyc	
astronomer	agent	single	wordnet	
astronomer	human	single	opencyc	
astronomer	mammal	single	opencyc	
astronomer	organism	single	wordnet	
astronomer	person	single	wordnet	
astronomer	physical-object	single	wordnet	
astronomer	physicist	accepted	claude wordnet	
astronomer	research-worker	single	wikidata	
astronomer	scientist	accepted	opencyc wikidata wordnet	
astronomer	structure	single	opencyc	
astronomer	system	single	opencyc	
astronomer	vertebrate	single	opencyc	
astronomer	worker	single	opencyc	
astronomical-conjunction	encounter	dissented	wordnet	
astronomical-conjunction	event	accepted	claude-ruling wordnet	
astronomical-rising	event	accepted	sumo wordnet	
astronomical-rising	phenomenon	single	sumo	
atomic-nucleus	centre	dissented	wordnet	
atomic-nucleus	chemical-element	single	sumo	
atomic-nucleus	elementary-particle	single	sumo	
atomic-nucleus	material	single	sumo	
atomic-nucleus	particle	accepted	claude-ruling	
atomic-nucleus	phenomenon	single	sumo	
atomic-nucleus	physical-object	single	wordnet	
atomic-nucleus	place	single	wordnet	
atomic-nucleus	substance	single	sumo	
atomic-nucleus	universe	single	sumo	
atomic-spectrum	event	single	sumo	
atomic-spectrum	group	dissented	wordnet	
atomic-spectrum	phenomenon	single	sumo	
atomic-spectrum	physical-phenomenon	accepted	claude-ruling	
attractive-force	physical-phenomenon	accepted	claude wordnet	
attractor	attribute	single	sumo	
attractor	cognition	single	wordnet	
attractor	concept	accepted	claude wordnet	
attractor	idea	single	wordnet	
attractor	property	single	sumo	
attractor	shape	single	sumo	
autumnal-equinoctial-point	equinoctial-point	accepted	claude wordnet	
autumnal-equinoctial-point	phenomenon	single	sumo	
autumnal-equinoctial-point	physical-object	single	wordnet	
autumnal-equinoctial-point	place	accepted	sumo wordnet	
autumnal-equinoctial-point	universe	single	sumo	
b-meson	chemical-element	single	sumo	
b-meson	elementary-particle	accepted	sumo wordnet	
b-meson	hadron	single	wordnet	
