# sub	sup	accept|reject	reason	sub_wn	sup_wn
# --- space batch 1 (WordNet): wordnet  ---
andromeda-galaxy	spiral-galaxy	accept		08271656	08271457
annular-eclipse	solar-eclipse	accept		07369099	07368877
aphelion	apoapsis	accept		08495908	08495617
apogee	apoapsis	accept		08495420	08495617
apojove	apoapsis	accept		08496095	08495617
aposelene	apoapsis	accept		08496199	08495617
armillary-sphere	model	accept		02739248	03777283
ascending-node	orbital-node	accept		08498279	08498424
asteroid	minor-planet	accept		09208702	09355623
astronomical-conjunction	encounter	accept		07415167	07414922
astronomical-telescope	instrument	accept		02751295	03574816
astronomy-satellite	satellite	accept		02751490	04137444
autumnal-equinoctial-point	equinoctial-point	accept		08521112	08520728
big-bang	explosion	accept		07408796	07308563
binary-star	star-body	accept		09221070	09444100
black-hole	place	reject	a black hole is an astronomical object, not a location	09223177	00027167
booster	engine	accept		02872333	03287733
cassegrainian-telescope	reflecting-telescope	accept		02978478	04068601
celestial-sphere	surface	accept		08521267	08660339
chiron	asteroid	accept		09244022	09208702
collimator	instrument	accept		03070854	03574816
communications-satellite	satellite	accept		03077741	04137444
cosmology	astrophysics	accept		06098195	06097775
coude-telescope	reflecting-telescope	accept		03116163	04068601
dark-matter	substance	accept		14582220	00020827
declination	angle	accept		08632894	13887509
descending-node	orbital-node	accept		08548924	08498424
diffuse-nebula	natural-event	reject	a nebula is an object, not an event	09266790	11408559
equatorial-telescope	instrument	accept		03293863	03574816
equinox	attribute	reject	an astronomical event, not an attribute	15223343	00024264
field-glass	refracting-telescope	accept		03333129	04070207
flare-star	red-dwarf	accept		09281252	09406198
galilean-telescope	refracting-telescope	accept		03411208	04070207
geostationary-orbit	geosynchronous-orbit	accept		08612644	08612498
geosynchronous-orbit	orbit	accept		08612498	08612049
herschelian-telescope	reflecting-telescope	accept		03516647	04068601
host-star	star-body	accept		09450454	09444100
hour-angle	angle	accept		13888783	13887509
kuiper-belt-object	minor-planet	accept		09327705	09355623
lander	spacecraft	accept		03638180	04264914
lunar-excursion-module	spacecraft	accept		03697366	04264914
maksutov-telescope	reflecting-telescope	accept		03715114	04068601
meteor	natural-event	accept		11483990	11408559
meteoroid	natural-object	accept		09353109	00019128
milky-way	galaxy	accept		09354984	08271042
multiple-star	star-body	accept		09363064	09444100
natural-satellite	celestial-body	accept		09424270	09239740
newtonian-telescope	reflecting-telescope	accept		03822767	04068601
optical-telescope	astronomical-telescope	accept		03852688	02751295
outer-planet	planet	accept		09381480	09394007
perigee	periapsis	accept		08618669	08618379
perihelion	periapsis	accept		08618831	08618379
perijove	periapsis	accept		08619006	08618379
periselene	periapsis	accept		08619112	08618379
phase-of-the-moon	appearance	accept		15206744	04673965
planetary-body	celestial-body	accept		09394646	09239740
planetary-nebula	natural-event	reject	a nebula is an object, not an event	09394797	11408559
primary-body	celestial-body	accept		09398769	09239740
pulsar	neutron-star	accept		09400987	09369692
radio-interferometer	radio-telescope	accept		04042632	04044716
radio-telescope	astronomical-telescope	accept		04044716	02751295
reflecting-telescope	optical-telescope	accept		04068601	03852688
refracting-telescope	optical-telescope	accept		04070207	03852688
right-ascension	angle	accept		08633191	13887509
schmidt-telescope	reflecting-telescope	accept		04145863	04068601
sidereal-time	attribute	reject	a time standard, not an attribute	15208162	00024264
solar-telescope	instrument	accept		04258618	03574816
solstice	attribute	reject	an astronomical event, not an attribute	15221818	00024264
space-capsule	spacecraft	accept		04264765	04264914
space-probe	rocket	reject	a probe is a spacecraft; WordNet's 'guided missile' chain is wrong	04265668	04099429
space-program	method	accept		05900716	05660268
spaceflight	voyage	accept		00313502	00312553
spectrograph	instrument	accept		04272782	03574816
spy-satellite	satellite	accept		04290762	04137444
star-chart	data-chart	accept		07002459	06999802
superior-planet	planet	accept		09450866	09394007
transit-instrument	instrument	accept		04471912	03574816
trapezium	multiple-star	accept		09461069	09363064
vernal-equinoctial-point	equinoctial-point	accept		08520958	08520728
weather-satellite	satellite	accept		04567593	04137444
# --- space batch 2 (Wikidata): wikidata  ---
active-galactic-nucleus	galaxy	reject	a region at a galaxy's centre, not a galaxy		08271042
amateur-astronomy	astronomy	accept			06095022
armillary-sphere	planetarium	reject	a model, not a planetarium	02739248	03956157
artificial-satellite	spacecraft	accept			04264914
astrobiology	astronomy	accept			06095022
