# sub	sup	accept|reject	reason	sub_wn	sup_wn — rulings Claude made under Peter's standing permission (moved out of review.tsv 2026-09-03 so attribution is honest; the `claude-ruling` witness)
mercury-planet	planet	accept	space skeleton [2026-09-03]		
venus	planet	accept	space skeleton [2026-09-03]		
mars	planet	accept	space skeleton [2026-09-03]		
jupiter	planet	accept	space skeleton [2026-09-03]		
saturn	planet	accept	space skeleton [2026-09-03]		
uranus	planet	accept	space skeleton [2026-09-03]		
neptune	planet	accept	space skeleton [2026-09-03]		
pluto	dwarf-planet	accept	space skeleton [2026-09-03]		
ceres	dwarf-planet	accept	space skeleton [2026-09-03]		
eris	dwarf-planet	accept	space skeleton [2026-09-03]		
ceres	asteroid	accept	space skeleton [2026-09-03]		
phobos	natural-satellite	accept	space skeleton [2026-09-03]		
deimos	natural-satellite	accept	space skeleton [2026-09-03]		
io	natural-satellite	accept	space skeleton [2026-09-03]		
europa	natural-satellite	accept	space skeleton [2026-09-03]		
ganymede	natural-satellite	accept	space skeleton [2026-09-03]		
callisto	natural-satellite	accept	space skeleton [2026-09-03]		
titan	natural-satellite	accept	space skeleton [2026-09-03]		
enceladus	natural-satellite	accept	space skeleton [2026-09-03]		
triton	natural-satellite	accept	space skeleton [2026-09-03]		
charon	natural-satellite	accept	space skeleton [2026-09-03]		
io	galilean-satellite	accept	space skeleton [2026-09-03]		
europa	galilean-satellite	accept	space skeleton [2026-09-03]		
ganymede	galilean-satellite	accept	space skeleton [2026-09-03]		
callisto	galilean-satellite	accept	space skeleton [2026-09-03]		
solar-system	planetary-system	accept	space skeleton [2026-09-03]		
planetary-system	collection	accept	space skeleton [2026-09-03]		
star-system	collection	accept	space skeleton [2026-09-03]		
local-group	galaxy-group	accept	space skeleton [2026-09-03]		
galaxy-group	collection	accept	space skeleton [2026-09-03]		
galaxy-cluster	collection	accept	space skeleton [2026-09-03]		
star-cluster	collection	accept	space skeleton [2026-09-03]		
star-cluster	celestial-body	accept	space skeleton [2026-09-03]		
open-cluster	star-cluster	accept	space skeleton [2026-09-03]		
globular-cluster	star-cluster	accept	space skeleton [2026-09-03]		
large-magellanic-cloud	dwarf-galaxy	accept	space skeleton [2026-09-03]		
small-magellanic-cloud	dwarf-galaxy	accept	space skeleton [2026-09-03]		
