# sub	sup	note
kuiper-belt	circumstellar-disc	the Kuiper belt; its Wikidata label resolved only to a fiction item
circumstellar-disc	celestial-body	asteroid belt, Kuiper belt, scattered disc — the Solar System's disc structures
asteroid-belt	circumstellar-disc	
scattered-disc	circumstellar-disc	
extravehicular-activity	activity	spacewalks; not resolvable by label
sun-synchronous-orbit	polar-orbit	
space-agency	organization	NASA, ESA, ISRO, CNSA
nasa	space-agency	
european-space-agency	space-agency	
isro	space-agency	
cnsa	space-agency	
space-mission	activity	a spaceflight undertaking with a goal — Apollo 11, sample returns
apollo-11	space-mission	
sample-return-mission	space-mission	
apollo-program	space-program	
stellar-remnant	celestial-body	white dwarfs, neutron stars, black holes
white-dwarf	stellar-remnant	
neutron-star	stellar-remnant	
black-hole	stellar-remnant	
orbital-position	celestial-point	apsides and nodes as points of an orbit
apsis	orbital-position	
galaxy-supercluster	collection	clusters of galaxy clusters — Virgo, Laniakea
virgo-supercluster	galaxy-supercluster	
laniakea-supercluster	galaxy-supercluster	
