# offset	name	note
09394646	planetary-body	the generic astronomical sense; core's plain word is the everyday or instance sense
09358226	planetary-moon	the generic astronomical sense; core's plain word is the everyday or instance sense
09424270	natural-satellite	the generic astronomical sense; core's plain word is the everyday or instance sense
09450454	host-star	the generic astronomical sense; core's plain word is the everyday or instance sense
09398769	primary-body	the generic astronomical sense; core's plain word is the everyday or instance sense
08498424	orbital-node	the generic astronomical sense; core's plain word is the everyday or instance sense
07415167	astronomical-conjunction	the generic astronomical sense; core's plain word is the everyday or instance sense
03293863	equatorial-telescope	the generic astronomical sense; core's plain word is the everyday or instance sense
09444100	star-body	the generic astronomical sense; core's plain word is the everyday or instance sense
08520958	vernal-equinoctial-point	the celestial point (as in the physics pack); the time is the geography pack's vernal-equinox
08521112	autumnal-equinoctial-point	the celestial point (as in the physics pack)
15223574	vernal-equinox	the time — same name as the geography pack
15223750	autumnal-equinox	the time — same name as the geography pack
09450708	supergiant-star	same concept as a Wikidata-named one (P8814), or a name another pack already uses for a different synset
04266375	space-suit	same concept as a Wikidata-named one (P8814), or a name another pack already uses for a different synset
15206744	lunar-phase	same concept as a Wikidata-named one (P8814), or a name another pack already uses for a different synset
04290762	reconnaissance-satellite	same concept as a Wikidata-named one (P8814), or a name another pack already uses for a different synset
06096451	orbital-mechanics	same concept as a Wikidata-named one (P8814), or a name another pack already uses for a different synset
08548239	celestial-culmination	same concept as a Wikidata-named one (P8814), or a name another pack already uses for a different synset
09461069	trapezium-cluster	same concept as a Wikidata-named one (P8814), or a name another pack already uses for a different synset
08494987	solar-apex	everyday-word rule
08495249	solar-antapex	everyday-word rule
02872333	booster-rocket	everyday-word rule
