# name	source	id
astronomy	wikidata	Q333
astrophysics	wikidata	Q37547
cosmology	wikidata	Q338
planetary-science	wikidata	Q104499
astrometry	wikidata	Q181505
celestial-mechanics	wikidata	Q184274
observational-astronomy	wikidata	Q818557
radio-astronomy	wikidata	Q4306
astrobiology	wikidata	Q411
celestial-body	wikidata	Q6999
planet	wikidata	Q634
dwarf-planet	wikidata	Q2199
minor-planet	wikidata	Q1022867
asteroid	wikidata	Q3863
comet	wikidata	Q3559
natural-satellite	wikidata	Q2537
moon	wikidata	Q405
exoplanet	wikidata	Q44559
brown-dwarf	wikidata	Q101600
white-dwarf	wikidata	Q5871
red-dwarf	wikidata	Q5893
red-giant	wikidata	Q50081
supergiant-star	wikidata	Q193599
main-sequence	wikidata	Q3450
neutron-star	wikidata	Q4202
pulsar	wikidata	Q4360
magnetar	wikidata	Q190426
black-hole	wikidata	Q589
supermassive-black-hole	wikidata	Q40392
supernova	wikidata	Q3937
binary-star	wikidata	Q50053
variable-star	wikidata	Q6243
protostar	wikidata	Q204903
stellar-classification	wikidata	Q25377588
spectral-class	wikidata	Q179600
star	wikidata	Q523
star-cluster	wikidata	Q168845
open-cluster	wikidata	Q11387
globular-cluster	wikidata	Q11276
nebula	wikidata	Q42372
planetary-nebula	wikidata	Q13632
emission-nebula	wikidata	Q202265
dark-nebula	wikidata	Q204194
supernova-remnant	wikidata	Q207436
galaxy	wikidata	Q318
spiral-galaxy	wikidata	Q2488
barred-spiral-galaxy	wikidata	Q2490
elliptical-galaxy	wikidata	Q184348
irregular-galaxy	wikidata	Q190397
dwarf-galaxy	wikidata	Q190438
galaxy-cluster	wikidata	Q204107
galaxy-group	wikidata	Q1491746
local-group	wikidata	Q3944
virgo-supercluster	wikidata	Q175760
laniakea-supercluster	wikidata	Q17863945
quasar	wikidata	Q83373
active-galactic-nucleus	wikidata	Q46587
milky-way	wikidata	Q321
andromeda-galaxy	wikidata	Q2469
magellanic-clouds	wikidata	Q50028
large-magellanic-cloud	wikidata	Q49957
small-magellanic-cloud	wikidata	Q49984
sun	wikidata	Q525
mercury-planet	wikidata	Q308
venus	wikidata	Q313
mars	wikidata	Q111
jupiter	wikidata	Q319
saturn	wikidata	Q193
uranus	wikidata	Q324
neptune	wikidata	Q332
pluto	wikidata	Q339
ceres	wikidata	Q596
eris	wikidata	Q611
phobos	wikidata	Q7547
deimos	wikidata	Q7548
io	wikidata	Q3123
europa	wikidata	Q3143
ganymede	wikidata	Q3169
callisto	wikidata	Q3134
titan	wikidata	Q2565
enceladus	wikidata	Q3303
triton	wikidata	Q3359
charon	wikidata	Q6604
solar-system	wikidata	Q544
inner-planet	wikidata	Q3504248
outer-planet	wikidata	Q30014
terrestrial-planet	wikidata	Q128207
gas-giant	wikidata	Q121750
ice-giant	wikidata	Q1319599
asteroid-belt	wikidata	Q2179
oort-cloud	wikidata	Q40864
scattered-disc	wikidata	Q180380
trans-neptunian-object	wikidata	Q6592
near-earth-object	wikidata	Q265392
meteoroid	wikidata	Q7012
meteor	wikidata	Q131136
meteorite	wikidata	Q60186
meteor-shower	wikidata	Q105000
bolide	wikidata	Q317167
interplanetary-medium	wikidata	Q1118875
interstellar-medium	wikidata	Q41872
heliosphere	wikidata	Q131687
solar-wind	wikidata	Q79833
sunspot	wikidata	Q6582994
solar-flare	wikidata	Q119830
coronal-mass-ejection	wikidata	Q129890
solar-cycle	wikidata	Q49385
photosphere	wikidata	Q6372
chromosphere	wikidata	Q190003
solar-radiation	wikidata	Q17996169
cosmic-ray	wikidata	Q11547
cosmic-microwave-background	wikidata	Q15605
big-bang	wikidata	Q323
cosmic-inflation	wikidata	Q273508
expansion-of-the-universe	wikidata	Q1129469
hubbles-law	wikidata	Q179916
red-shift	wikidata	Q76250
dark-matter	wikidata	Q79925
dark-energy	wikidata	Q18343
observable-universe	wikidata	Q221392
universe	wikidata	Q1
cosmological-constant	wikidata	Q59151
lambda-cdm-model	wikidata	Q692197
age-of-the-universe	wikidata	Q500699
gravitational-wave	wikidata	Q190035
gravitational-lens	wikidata	Q185243
celestial-sphere	wikidata	Q12134
celestial-coordinate-system	wikidata	Q86394
equatorial-coordinate-system	wikidata	Q208617
ecliptic-coordinate-system	wikidata	Q500348
galactic-coordinate-system	wikidata	Q385487
horizontal-coordinate-system	wikidata	Q625696
right-ascension	wikidata	Q13442
declination	wikidata	Q76287
ecliptic	wikidata	Q79852
celestial-equator	wikidata	Q187646
celestial-pole	wikidata	Q12119
zenith	wikidata	Q82806
nadir	wikidata	Q145825
j2000	wikidata	Q1264450
sidereal-time	wikidata	Q191747
constellation	wikidata	Q8928
zodiac	wikidata	Q40540
asterism	wikidata	Q9262
apparent-magnitude	wikidata	Q124313
absolute-magnitude	wikidata	Q159653
luminosity	wikidata	Q105902
parallax	wikidata	Q165074
stellar-parallax	wikidata	Q906561
proper-motion	wikidata	Q193223
orbit	wikidata	Q4130
orbital-mechanics	wikidata	Q842433
keplers-laws	wikidata	Q83219
orbital-elements	wikidata	Q272626
orbital-eccentricity	wikidata	Q208474
orbital-inclination	wikidata	Q4112212
semi-major-axis	wikidata	Q171594
apsis	wikidata	Q83481
periapsis	wikidata	Q1088950
apoapsis	wikidata	Q2858363
perihelion	wikidata	Q216807
aphelion	wikidata	Q1699691
perigee	wikidata	Q1349468
apogee	wikidata	Q1179441
orbital-period	wikidata	Q37640
escape-velocity	wikidata	Q166530
hohmann-transfer-orbit	wikidata	Q723861
gravity-assist	wikidata	Q223776
lagrange-point	wikidata	Q190463
