name	issue	ids
celestial-pole	name collision with 'pole' — one of two points of intersection of the Earth's axis and th	08621099
autumnal-equinox	opencyc: 2 classes match ['autumnal-equinox']	Mx4rQexstIUhEdaAAAACs0uFOQ Mx4rvWhvypwpEbGdrcN5Y29ycA
ceres	wikidata: 2 classes match ['ceres']	Q32102 Q596
eris	wikidata: 2 classes match ['eris']	Q140001 Q611
ganymede	wikidata: 2 classes match ['ganymede']	Q131588 Q3169
io	wikidata: 2 classes match ['io']	Q179014 Q3123
jupiter	wikidata: 2 classes match ['jupiter']	Q319 Q4649
neptune	wikidata: 2 classes match ['neptune']	Q332 Q3954
pluto	wikidata: 2 classes match ['pluto']	Q108732 Q339
saturn	wikidata: 2 classes match ['saturn']	Q134388 Q193
titan	wikidata: 3 classes match ['titan']	Q2565 Q3529476 Q45713
triton	wikidata: 2 classes match ['triton']	Q148030 Q3359
uranus	wikidata: 2 classes match ['uranus']	Q324 Q79999
vernal-equinox	opencyc: 2 classes match ['vernal-equinox']	Mx4rQBn35IUhEdaAAAACs0uFOQ Mx4rvVrqkJwpEbGdrcN5Y29ycA
