sub	sup	status	for	against
absolute-magnitude	quantity	accepted	claude-ruling	
active-galactic-nucleus	celestial-body	accepted	claude-ruling wikidata	
active-galactic-nucleus	galaxy	dissented	wikidata	
active-galactic-nucleus	place	single	yago	
adaptive-optics	method	accepted	claude-ruling	
aerolite	material	single	sumo	
aerolite	meteorite	accepted	claude wordnet	
aerolite	meteoroid	single	wordnet	
aerolite	mineral	single	sumo	
aerolite	natural-object	single	wordnet	
aerolite	phenomenon	single	sumo	
aerolite	physical-object	single	wordnet	
aerolite	substance	single	sumo	
aerolite	universe	single	sumo	
aerospace-engineering	engineering	accepted	claude-ruling	
aerospace-engineering	human	single	opencyc	
aerospace-engineering	mammal	single	opencyc	
aerospace-engineering	structure	single	opencyc	
aerospace-engineering	system	single	opencyc	
aerospace-engineering	vertebrate	single	opencyc	
aerospace-engineering	worker	single	opencyc	
age-of-the-universe	quantity	accepted	claude-ruling	
amateur-astronomy	action	single	opencyc	
amateur-astronomy	activity	accepted	claude-ruling	
amateur-astronomy	astronomy	accepted	claude wikidata	
amateur-astronomy	event	single	opencyc	
amateur-astronomy	research	single	wikidata	
amateur-astronomy	science	single	wikidata	
amateur-astronomy	situation	single	opencyc	
andromeda-galaxy	collection	accepted	sumo wordnet	
andromeda-galaxy	galaxy	single	wordnet	
andromeda-galaxy	group	single	wordnet	
andromeda-galaxy	phenomenon	single	sumo	
andromeda-galaxy	spiral-galaxy	accepted	claude wordnet	
annular-eclipse	event	accepted	sumo wordnet	
annular-eclipse	phenomenon	single	sumo	
annular-eclipse	solar-eclipse	accepted	claude wordnet	
aphelion	apoapsis	accepted	claude wordnet	
aphelion	phenomenon	single	sumo	
aphelion	physical-object	single	wordnet	
aphelion	place	accepted	sumo wordnet	
aphelion	universe	single	sumo	
apoapsis	apsis	accepted	claude wikidata	
apoapsis	phenomenon	single	sumo	
apoapsis	physical-object	single	wordnet	
apoapsis	place	accepted	sumo wordnet	
apoapsis	universe	single	sumo	
apogee	apoapsis	accepted	claude wikidata wordnet	
apogee	apsis	single	wikidata	
apogee	phenomenon	single	sumo	
apogee	physical-object	single	wordnet	
apogee	place	accepted	sumo wordnet	
apogee	universe	single	sumo	
apojove	apoapsis	accepted	claude wordnet	
apojove	phenomenon	single	sumo	
apojove	physical-object	single	wordnet	
apojove	place	accepted	sumo wordnet	
apojove	universe	single	sumo	
