abbey	organization
abbey	topographic-point
academy	organization
academy	school
academy	school.2
academy	school.3
academy	topographic-point
accelerator	substance
ace	topographic-point
acid	chemical
act	information
act	merchandise
act	product
act	product.2
ad	information
aircraft	merchandise
aircraft	product
aircraft	product.2
aircraft	vehicle
airline	organization
airplane	merchandise
airplane	product
airplane	product.2
airplane	vehicle
alliance	organization
altar	information
altar	merchandise
altar	product
altar	product.2
angel	information
anniversary	event
announcement	information
announcement	merchandise
announcement	product
announcement	product.2
anteroom	topographic-point
apartment	topographic-point
apparel	merchandise
apparel	product
apparel	product.2
aquarium	topographic-point
arch	merchandise
arch	product
arch	product.2
arena	topographic-point
army	organization
article	information
asterisk	topographic-point
athlete	person
atmosphere	substance
atmosphere.2	substance
automaton	merchandise
automaton	product
automaton	product.2
avant-garde	merchandise
avant-garde	product
avant-garde	product.2
avant-garde	vehicle
avenue	topographic-point
baby-buggy	merchandise
baby-buggy	product
baby-buggy	product.2
baby-buggy	vehicle
bag	merchandise
bag	product
bag	product.2
bag.2	merchandise
bag.2	product
bag.2	product.2
balcony	topographic-point
ball.3	function
ball.3	information
ball.3	map
ballet	information
bank	organization
bank	topographic-point
banner	merchandise
banner	product
banner	product.2
bar	organization
bar	topographic-point
bar.2	organization
bar.2	topographic-point
baron	person
barrel.3	merchandise
barrel.3	product
barrel.3	product.2
barroom	organization
barroom	topographic-point
base	information
base	merchandise
base	product
base	product.2
base	sculpture
basement	topographic-point
basket	merchandise
basket	product
basket	product.2
battle	event
battlefield	topographic-point
bay	body-of-water
bay	landform
bay	topographic-point
beach	topographic-point
beer	chemical
beer	merchandise
beer	product
beer	product.2
beer	substance
bicycle	merchandise
bicycle	product
bicycle	product.2
bicycle	vehicle
bill	merchandise
bill	military-service
bill	overhaul
bill	product
bill	product.2
bill	service
bill	service.2
birdcall	information
birthday	event
bishop	person
bite	merchandise
bite	product
bite	product.2
block	topographic-point
boat	merchandise
boat	product
boat	product.2
boat	vehicle
body-of-water	landform
body-of-water	topographic-point
bomb	merchandise
bomb	product
bomb	product.2
bomber	merchandise
bomber	product
bomber	product.2
bomber	vehicle
bomber.2	merchandise
bomber.2	product
bomber.2	product.2
bomber.2	vehicle
book	information
book.2	information
booth	merchandise
booth	product
booth	product.2
booth	topographic-point
bottle	merchandise
bottle	product
bottle	product.2
bottom	merchandise
bottom	product
bottom	product.2
bottom	vehicle
bowl	merchandise
bowl	product
bowl	product.2
box	merchandise
box	product
box	product.2
bread	merchandise
bread	product
bread	product.2
brewery	organization
brewery	topographic-point
bridge	topographic-point
bucket	merchandise
bucket	product
bucket	product.2
buffet	event
building	topographic-point
burial	event
business	organization
buttocks	information
buttocks	merchandise
buttocks	product
buttocks	product.2
cake	merchandise
cake	product
cake	product.2
camera	merchandise
camera	product
camera	product.2
camp.2	organization
camp.3	topographic-point
campaign	event
caption	information
carriage	merchandise
carriage	product
carriage	product.2
carriage	vehicle
cartoon	drawing
cartoon	drawing.2
cartoon	information
castle	firm
castle	house
castle	house.2
castle	topographic-point
cathedral	church
cathedral	topographic-point
cave	landform
cave	topographic-point
ceiling	merchandise
ceiling	product
ceiling	product.2
ceiling.2	merchandise
ceiling.2	product
ceiling.2	product.2
cellular-telephone	merchandise
cellular-telephone	product
cellular-telephone	product.2
census	dataset
census	information
ceremony	event
chair	information
chair	merchandise
chair	product
